453751	Oblast Razgrad	Oblast Razgrad	Oblast Razgrad,Razgrad,Razgradska Oblast,Razgradski Okrug,Razgradski Okrŭg,Ruse,Rusenska,Rusenska Oblast,Област Разград	43.63333	26.51667	A	ADM1	BG	BG	52				0		243	Europe/Sofia	2011-05-07
453753	Oblast Montana	Oblast Montana	Mikhaylovgradska Oblast,Mikhaylovgradski Okrug,Mikhaylovgradski Okrŭg,Montana,Oblast Montana,Област Монтана	43.5	23.18333	A	ADM1	BG		47				0		218	Europe/Sofia	2011-05-07
630673	Black Sea	Black Sea	Cherno More,Chernoe More,Chernoye More,Euxine Sea,Kara Dengis,Karadeniz,Mar Negro,Marea Neagra,Marea Neagră,Mer Noire,Nigra Maro,Ponto Euxino,Pontus Euxinus,Schwarzes Meer,Zwarte Zee	43	35	H	SEA	BG						0		-9999	Europe/Simferopol	2009-05-03
725212	Zagortsi	Zagortsi	Cocargea,Kokardzha,Zagorci,Zagortsi,Загорци	43.78333	27.78333	P	PPL	BG	BG	40	DOB20			0		220	Europe/Sofia	2011-05-08
725213	Beloslav	Beloslav	Belevo,Belewo,Beloslav,Beloslaw,Belovo,Bielevo,Bjelevo,Byelevo,Gebedze,Gebedzhe,Gebedže,Белослав	43.18333	27.7	P	PPL	BG		61	VAR04			7989		75	Europe/Sofia	2007-04-05
725214	Zvŭnika	Zvunika	Akhmatlar,Zvunika,Zvŭnika,Звъника	41.6	25.26667	P	PPL	BG	BG	44	KRZ16	KRZ16-03		0		540	Europe/Sofia	2011-05-08
725215	Zvŭnichevo	Zvunichevo	Cangorlie,Cangurli,Changarlii,Changarliy,Changurlii,Changŭrlii,Swanitschewo,Swănitschewo,Zvnichevo,Zvunichevo,Zvŭnichevo,Čangorlie,Звъничево	42.18333	24.25	P	PPL	BG	BG	48	PAZ19	PAZ19-11		0		219	Europe/Sofia	2011-05-08
725216	Zvŭnets	Zvunets	Chanlar,Swanez,Swănez,Zvunec,Zvunets,Zvŭnets,Звънец	43.5	27.6	P	PPL	BG	BG	61	VAR09			0		206	Europe/Sofia	2011-05-08
725217	Zvŭnche	Zvunche	Imamlar,Zvunche,Zvŭnche,Звънче	41.7	25.3	P	PPL	BG	BG	44	KRZ16	KRZ16-16		0		604	Europe/Sofia	2011-05-08
725218	Zvŭnartsi	Zvunartsi	Gyuvedzhe,Swanarzi,Swănarzi,Zvunarci,Звънарци	43.90494	26.47636	P	PPL	BG	BG	52	RAZ16	RAZ16-06		0		61	Europe/Sofia	2007-06-04
725219	Zvŭnarka	Zvunarka	Swanarka,Swănarka,Yunuz,Zvuarka,Zvunarka,Zvŭarka,Zvŭnarka,Звънарка	41.45	25.63333	P	PPL	BG	BG	44	KRZ15	KRZ15-18		0		313	Europe/Sofia	2011-05-08
725220	Zvinitsa	Zvinitsa	Boyadzhiklar,Swiniza,Zvinitsa,Zvunica,Звъница	41.75	25.58333	P	PPL	BG	BG	44				0		253	Europe/Sofia	2011-05-08
725221	Zvezditsa	Zvezditsa	K'oklyudzha,Kokardzha,Kokludzha,Kyuklyudzha,K’oklyudzha,Swesdiza,Zvazditsa,Zvezdica,Zvezditsa,Zvăzditsa,Звездица	43.15	27.85	P	PPL	BG	BG	61	VAR06	VAR06-07		0		182	Europe/Sofia	2011-05-08
725222	Zvezdets	Zvezdets	Geuktepe,Ghiok-Tepe,Ghiok-Tépe,Giok-Tepe,Gjok-Tepe,Goktepe,Göktepe,Swesdez,Zvezdec,Zvezdeo,Zvezdets,Звездец	42.11143	27.41696	P	PPL	BG		39	BGS12	BGS12-07		0		327	Europe/Sofia	2011-05-08
