#
# Format:  CODE : ISOC : LAT : LONG : Description
#
AAR:EKAH:56.3000000:10.6191667:82:Tirstrup, Aarhus, Denmark
ABE:KABE:40.6524000:-75.4404000:394:Allentown-Bethlehem-Easton International, Pennsylvania, USA
ABQ:KABQ:35.0403611:-106.6093056:5352:Albuquerque International, New Mexico, USA
ADL:YPAD:-34.9463889:138.5294444:20:Adelaide, South Australia, Australia
AGC:KAGC:40.3544028:-79.9301694:1253:Pittsburgh/Allegheny County, Pennsylvania, USA
AGP:LEMG:36.6750000:-4.4988889:23:Malaga, Spain
AIY:KAIY:39.3600056:-74.4561500:9:Atlantic City International, New Jersey, USA
AKL:NZAA:-37.0080556:174.7916667:23:Auckland, New Zealand
ALB:KALB:42.7481194:-73.8029778:285:Albany, New York, USA
AMM:OJAI:31.6666667:35.9666667:2365:Amman, Jordan
AMS:EHAM:52.3080556:4.7641667:-11:Shiphol, Amsterdam, Netherlands
ANC:PANC:61.1743194:-149.9961861:144:Anchorage International, Alaska, USA
ANU:TAPA:17.1166667:-61.7833333:46:Antigua, Leeward Islands
ARN:ESSA:59.6519444:17.9186111:200:Arlanda Airport, Stockholm, Sweden
ATH:LGAV::::Athens, Greece
ATL:KATL:33.6404417:-84.4269278:1026:Atlanta William B. Hartsfield International, Georgia, USA
AUS:KAUS:30.1967861:-97.6789139:541:Austin Robert Mueller Municipal, Texas, USA
AVL:KAVL:35.4361972:-82.5418167:2169:Asheville Regional, North Carolina, USA
AVV:YMAV:-38.0408333:144.4680556:26:Avalon Airport, Victoria, Australia
AXA:TQPF:18.2000000:-63.0666667:3:Anguilla
BAR:YBAR:-23.5650000:145.3094444:879:Baker Island, Baker & Howland Islands
BDA:TXKF:32.3640000:-64.6787000:9:Bermuda, BM
BDL:KBDL:41.9388750:-72.6832278:174:Hartford/Springfield Bradley International, Connecticut, USA
BER:EDDB:52.3786111:13.5208333:157:All Airports around Berlin, Germany
BFI:KBFI:47.5299889:-122.3019556:18:Seattle Kings County International/Boeing Field, Washington, USA
BGI:TBPB:13.0666667:-59.5000000:184:Barbados
BGR:KBGR:44.8074389:-68.8281222:192:Bangor International, Maine, USA
BGT::33.3500000:44.4166667::All Airports around Baghdad, Iraq
BHM:KBHM:33.5629444:-86.7535500:644:Birmingham Municipal, Alabama, USA
BHZ::-19.7500000:-43.7500000::All Airports around Belo Horizonte, MG, Brazil
BIL:KBIL:45.8083611:-108.5438528:3649:Billings Logan International, Montana, USA
BIS:KBIS:46.7740139:-100.7478056:1677:Bismarck Municipal, North Dakota, USA
BKK:VTBD:13.9166667:100.6000000:39:Bangkok [Don Muang International Airport], Thailand
BKL:KBKL:41.5174556:-81.6834833:584:Cleveland Lakefront, Ohio, USA
BNA:KBNA:36.1244778:-86.6781833:599:Nashville Metro, Tennessee, USA
BNE:YBBN:-27.3858333:153.1163889:13:Brisbane, Queensland, Australia
BOI:KBOI:43.5650111:-116.2252250:2858:Boise Air Terminal/Gowen Field, Idaho, USA
BOS:KBOS:42.3643472:-71.0051778:20:Boston Logan International, Massachusetts, USA
BPT:KBPT:29.9508250:-94.0207028:16:Beaumont, Texas, USA
BTR:KBTR:30.5331611:-91.1496333:69:Baton Rouge, Louisiana, USA
BTV:KBTV:44.4714944:-73.1527667:334:Burlington International, Vermont, USA
BUE:SABA:-34.6833333:-58.6500000:82:All Airports around Buenos Aires, Argentina
BUF:KBUF:42.9405250:-78.7321667:724:Buffalo International, New York, USA
BUH:LROP:44.5711111:26.0847222:311:All Airports around Bucharest, Romania
BUR:KBUR:34.2006194:-118.3584972:774:Burbank/Glendale/Pasadena, California, USA
BWI:KBWI:39.1754028:-76.6681972:146:Baltimore-Washington International, Maryland, USA
BWU:YSBK:-33.9166667:150.9833333:46:Bankstown, New South Wales, Australia
CAE:KCAE:33.9388389:-81.1195389:236:Columbia Metropolitan, South Carolina, USA
CAK:KCAK:40.9163139:-81.4424611:1228:Akron/Canton Regional, Ohio, USA
CBR:YSCB:-35.3083333:149.1938889:1886:Canberra, Australian Capital Territory, Australia
CDG:LFPG:49.0097222:2.5477778:358:Charles de Gaulle, Paris, France
CEI:VTCR:19.9333333:99.8500000:1296:Chiang Rai [Chiang Rai International Airport], Thailand
CGD::29.0333333:111.6833333::Changde, China
CGN:EDDK:50.8661111:7.1427778:298:Koeln/Bonn, Cologne, Germany
CGX:KCGX:41.8588444:-87.6079111:594:Chicago Merrill C. Meigs Field, Chicago, Illinois, USA
CHI:KCHI:42.0000000:-87.8833333:594:All Airports around Chicago, Illinois, USA
CHQ:LGSA:35.5297222:24.1500000:495:Chania, Souda, Greece
CHS:KCHS:32.8986472:-80.0405056:46:Charleston International, South Carolina, USA
CID:KCID:41.8845889:-91.7108722:864:Cedar Rapids/Iowa City, Iowa, USA
CLE:KCLE:41.4108944:-81.8493972:792:Cleveland-Hopkins International, Ohio, USA
CLT:KCLT:35.2140833:-80.9430833:749:Charlotte/Douglas International, North Carolina, USA
CMH:KCMH:39.9962222:-82.8889167:815:Columbus International, Ohio, USA
CNS:YBCS:-16.8875000:145.7536111:23:Cairns, Queensland, Australia
CNX:VTCC:18.7666667:98.9666667:1030:Chiang Mai [Chiang Mai International Airport], Thailand
COS:KCOS:38.8058056:-104.7002500:6183:Peterson, Colorado Springs, USA
CPH:EKCH:55.6180556:12.6561111:16:Copenhagen, Denmark
CPR:KCPR:42.9081833:-106.4635778:5348:Casper/Natrone County International, Wyoming, USA
CRM:RPVF:12.4833333:124.6333333:16:Charleston (WV) Yeager, South Carolina, USA
CRP:KCRP:27.7703611:-97.5012167:43:Corpus Christi International, Texas, USA
CUN:YCUN:-31.6250000:117.2166667:702:Cancun, Mexico
CVG:KCVG:39.0461417:-84.6621722:897:Cincinnati International, Ohio, USA
CYS:KCYS:41.1557222:-104.8118389:6156:Cheyenne, Wyoming, USA
DAB:KDAB:29.1799167:-81.0580278:36:Daytona Beach, FL
DAL:KDAL:32.8471278:-96.8517806:486:Dallas Love Field, Texas, USA
DAY:KDAY:39.9023806:-84.2193778:1009:Dayton James M. Cox International, Ohio, USA
DCA:KDCA:38.8520861:-77.0377111:16:Washington National, District of Columbia, USA
DEL:VIDP:28.5666667:77.1166667:764:Delhi, India
DEN:KDEN:39.8584083:-104.6670028:5333:Denver International, Colorado, USA
DET:KDET:42.4091944:-83.0098611:627:Detroit City, Michigan, USA
DFW:KDFW:32.8959500:-97.0372000:603:Dallas-Ft. Worth International, Texas, USA
DMR::14.5333333:44.4333333::Dhamar, Yemen
DRW:YPDN:-12.4161111:130.8755556:101:Darwin, Northern Territory, Australia
DSM:KDSM:41.5349333:-93.6606917:957:Des Moines International, Iowa, USA
DTT:KDTT::::All Airports around Detroit, Michigan, USA
DTW:KDTW:42.2120583:-83.3488361:639:Detroit Metropolitan/Wayne County, Michigan, USA
DUB:EIDW:53.4213889:-6.2697222:242:Dublin Airport, Ireland
DUS:EDDL:51.2808333:6.7572222:144:Dusseldorf, Germany
ELP:KELP:31.8066833:-106.3778056:3956:El Paso International, El Paso, Texas, USA
EWR:KEWR:40.6929889:-74.1684694:18:Newark International, New Jersey, USA
EYW:KEYW:24.5561250:-81.7595417:4:Key West International, Florida, USA
EZE:SAEZ:-34.8222222:-58.5358333:66:Buenos Aires, Argentina
FAI:PAFA:64.8141167:-147.8586139:434:Fairbanks International, Alaska, USA
FAR:KFAR:46.9193500:-96.8149889:900:Fargo Hector International, North Dakota, USA
FAT:KFAT:36.7761861:-119.7181389:333:Fresno Air Terminal, California, USA
FCO:LIRF:41.8116667:12.2522222:10:Rome, Italy
FDF:TFFF:14.5833333:-61.0000000:13:Fort De France, MQ
FLL:KFLL:26.0725972:-80.1527417:11:Ft. Lauderdale-Hollywood International, Florida, USA
FOE:KFOE:38.9503917:-95.6641194:1079:Topeka Forbes Field, Kansas, USA
FOO::-0.9333333:134.8666667::Numfoor, Indonesia
FRA:EDDF:50.0333333:8.5702778:371:Frankfurt, Germany
FSD:KFSD:43.5813500:-96.7417000:1429:Sioux Falls Regional, South Dakota, USA
FWA:KFWA:40.9784667:-85.1951472:815:Ft. Wayne Allen County, Indiana, USA
GCM:MWCR:19.3000000:-81.3500000:10:Grand Cayman, KY
GDL:MMGL:20.5213889:-103.3108333:5012:Guadalajara, Mex
GEG:KGEG:47.6198556:-117.5338417:2372:Spokane International, Washington, USA
GEX:YGLG:-38.1333333:144.3500000::Geelong, Victoria, Australia
GIG:YGIG:-31.4663889:115.8616667:246:Rio De Janeiro, Brazil
GLA:EGPF:55.8719444:-4.4330556:26:Glasgow, Scotland
GND::12.1500000:-61.6166667::Grenada, GD
GRR:KGRR:42.8826417:-85.5239667:794:Grand Rapids/Kent County International, Michigan, USA
GRU:SBGR:-23.0000000:-47.1333333:2461:Sao Paulo, Brazil
GSO:KGSO:36.0977472:-79.9372972:926:Greensboro-High Pt.-Winston Salem Regional, North Carolina, USA
HAV:MUHA:22.9833333:-82.4000000:194:Jose Marti, Havana, Cuba
HDY:YHDY:-21.3166667:138.3000000:115:Hat Yai (Hatyai) [Songkhia], Thailand
HEL:EFHK:60.3172222:24.9633333:184:Helsinki, Finland
HEL:EFHK:60.3172222:24.9633333:184:Kazantzakis, Herakleion, Greece
HKG:VHHH:22.3250000:113.9270000:19:Hong Kong
HKT:VTSP:8.1166667:98.3166667:33:Phuket, Thailand
HNL:PHNL:21.3186917:-157.9224083:13:Honolulu International, Hawaii, USA
HOT:KHOT:34.4780333:-93.0962083:541:Hot Springs Memorial Field
HOU:KHOU:29.6454194:-95.2788778:46:Houston William P. Hobby, Texas, USA
HPN:KHPN:41.0669583:-73.7075750:439:White Plains/Westchester County, New York, USA
HRL:KHRL:26.2285083:-97.6543806:36:Harlingen, Texas, USA
HUF:KHUF:39.4518722:-87.3089083:585:Terre Haute Hulman Regional, Indiana, USA
